记录ID,包名,架构,版本,网站地址,下载地址
be0f72de-0e80-4696-b07b-96dda1514e23,org.librecad.www,x86_64,2.2.1.5,https://github.com/LibreCAD/LibreCAD/releases/tag/v2.2.1.5,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.librecad.www_x86_64_2.2.1.5.AppImage
4b59c8e7-03ff-41bc-a2a3-a53eb13c73b1,org.kde.games,x86_64,26.04.1,https://apps.kde.org/zh-cn/kajongg/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/kajongg_x86_64_26.04.1.tar.xz
3a4521fa-a373-4421-952c-801fb2a72f7b,utools,x86_64,7.8.0,https://www.u-tools.cn/download/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/utools_x86_64_7.8.0.deb
7931e6f3-a92f-46d5-9f4d-d0b8dbcce990,app.floorp,x86_64,12.14.2,https://github.com/Floorp-Projects/Floorp/releases/tag/v12.14.2,https://rustfsadmin.cicd2.getdeepin.org/linyaps/app.floorp_x86_64_12.14.2.tar.xz
	09722d23-5c74-46cf-9548-07fa85a96220,org.mamedev.mamedev,x86_64,	0.287,https://www.mamedev.org/release.html,https://rustfsadmin.cicd2.getdeepin.org/linyaps/mame_x86_64_0.287.zip
10ee97ea-8f40-45bc-bf68-5c3f319f2182,info.smplayer.smplayer,x86_64,25.6.0,https://github.com/smplayer-dev/smplayer/releases/tag/v25.6.0,https://rustfsadmin.cicd2.getdeepin.org/linyaps/
1816b6d2-761f-4a49-b86e-fa562b7bb251,org.shotwell.shotwell,x86_64,	0.32.15,https://gitlab.gnome.org/GNOME/shotwell/-/tags/shotwell-0.32.15,https://rustfsadmin.cicd2.getdeepin.org/linyaps/shotwell-0.32.15.tar.xz
201ca633-5087-44bb-8c11-b9c2df34f260,org.kde.falkon,x86_64,3.2.0,https://download.kde.org/stable/falkon/3.2.0/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.kde.falkon_x86_64_3.2.0.tar.xz
772325cd-a15e-4e96-8030-4931a817efa7,org.kde.www.kolourpaint,x86_64,26.04.1,https://download.kde.org/stable/release-service/26.04.1/src/kolourpaint-26.04.1.tar.xz,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.kde.www.kolourpaint_src_26.04.1.tar.xz
1a21916b-d960-4799-81ce-9a06f4857fde,org.wireshark,x86_64,4.6.6,https://www.wireshark.org/download.html,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.wireshark_x86_64_4.6.6.tar.xz
4cfbb8d7-bf05-43bc-89c6-d636244e15ea,org.chiark.putty,x86_64,	0.84,https://www.chiark.greenend.org.uk/~sgtatham/putty/latest.html,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.chiark.putty_any_0.84.tar.gz
1e9c6f8c-fc69-4117-a757-5135d1924ebb,org.meldmerge,x86_64,3.23.1,https://gitlab.gnome.org/GNOME/meld/-/tags/3.23.1,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.meldmerge_x86_64_3.23.1.tar.gz
bdd61775-7a50-4256-ab5c-5b62be972160,org.xonotic,x86_64,	0.8.6,https://xonotic.org/download/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.xonotic_x86_64_0.8.6.zip
3dc66408-0060-45c6-a386-27a195fe3144,org.gnome.brasero,x86_64,3.12.3,https://gitlab.gnome.org/GNOME/brasero/-/tags/3.12.3,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.gnome.brasero_all_3.12.3.tar.xz
298d1850-9d70-4a01-93f7-4dce2d1b8593,app.motrix,x86_64,1.8.19,https://github.com/agalwood/Motrix/releases/tag/v1.8.19,https://rustfsadmin.cicd2.getdeepin.org/linyaps/Motrix_amd64_1.8.19.deb
2e05b82d-62b4-4f1d-825b-6cd5a526ba42,net.fasterland.converseen,x86_64,	0.15.2.4,https://github.com/Faster3ck/Converseen/releases/tag/v0.15.2.4,https://rustfsadmin.cicd2.getdeepin.org/linyaps/net.fasterland.converseen_x86_64_0.15.2.4.AppImage
6b92cc11-d5ed-4b4a-a578-6b69450acaaf,io.github.fsearch,x86_64,	0.3-beta1,https://github.com/cboxdoerfer/fsearch/releases/tag/0.3-beta1,https://rustfsadmin.cicd2.getdeepin.org/linyaps/io.github.cboxdoerfer.FSearch_x86_64_0.3-beta1.flatpak
5380df81-407f-416a-b198-5cbf6c221ffd,org.sqlitebrowser,x86_64,3.13.1,https://github.com/sqlitebrowser/sqlitebrowser/releases/tag/v3.13.1,https://rustfsadmin.cicd2.getdeepin.org/linyaps/DB.Browser.for.SQLite-v3.13.1-x86.64-v2.AppImage
210d71f2-b7f4-46d8-a920-d8258ecb210d,org.krdc.krdc,x86_64,25.12.3,https://apps.kde.org/krdc/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.krdc.krdc_x86_64_25.12.3.snap
b9b653fc-e113-4c04-92ab-df67387a3cee,github.troyeguo.koodo-reader,x86_64,2.3.5,https://github.com/koodo-reader/koodo-reader/releases/tag/v2.3.5,https://rustfsadmin.cicd2.getdeepin.org/linyaps/github.troyeguo.koodo-reader_amd64_2.3.5.deb
4e13338e-107e-4fa4-a96a-038bcd8ae2aa,org.tigervnc.tigervnc-viewer,x86_64,1.16.2,https://github.com/TigerVNC/tigervnc/releases/tag/v1.16.2,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.tigervnc.tigervnc-viewer_amd64_1.16.2.deb
